idtrieuchung,tentrieuchung
S01,Sốt
S02,Ho
S03,"Đau nhức cơ thể "
S04,"Khó thở hoặc thở nhanh hơn bình thường, thở khò khè"
S05,"Đau cổ họng"
S06," Nổi bóng nước trên da, quanh miệng, bên trong má, lòng bàn tay và bàn chân, mông hoặc xung quanh hậu môn."
S07,"Bóng nước chứa dịch nhầy"
S08,"Trẻ nhỏ thường hay bị chảy nước dãi liên tục"
S09,"Đau nhức cơ bắp"
S10,"Ban đỏ ở mặt và cổ và sau đó lan rộng xuống cơ thể"
S11,"Ban đỏ này có thể làm ngứa và gây khó chịu"
S12,"Điểm trắng trên niêm mạc miệng"
S13,"Nổi hạch sau tai"
S14,"Viêm mắt và làm mắt đỏ, sưng, và nhạy sáng với ánh sáng."
S15,"Mụn nước ngứa, chứa đầy dịch"
S16,"Biểu hiện xung huyết"
S17,"Chảy nước mắt"
S18,"Sưng má (có thể một bên hoặc cả hai bên)"
S19,"Đau góc hàm"
S20,"Đau khi nhai"
S21,"Tiết nước bọt nhiều"
S22,"Nhức đầu hoặc đau đầu"
S23,"Sưng hạch bạch huyết "
S24,"Đau mắt"
S25,"Sưng mí mắt"
